run,modello,task,domanda_id,voto
1,phi3:mini,GSM8K,1,0
1,qwen2.5:7b,GSM8K,1,1
1,mistral:latest,GSM8K,1,1
1,phi3:mini,HellaSwag,2,1
1,qwen2.5:7b,HellaSwag,2,1
1,mistral:latest,HellaSwag,2,1
1,phi3:mini,MMLU,3,1
1,qwen2.5:7b,MMLU,3,1
1,mistral:latest,MMLU,3,1
1,phi3:mini,GSM8K,4,0
1,qwen2.5:7b,GSM8K,4,1
1,mistral:latest,GSM8K,4,0
1,phi3:mini,MMLU,5,0
1,qwen2.5:7b,MMLU,5,1
1,mistral:latest,MMLU,5,0
1,phi3:mini,MMLU,6,0
1,qwen2.5:7b,MMLU,6,0
1,mistral:latest,MMLU,6,0
1,phi3:mini,HellaSwag,7,0
1,qwen2.5:7b,HellaSwag,7,1
1,mistral:latest,HellaSwag,7,0
1,phi3:mini,SQuAD,8,1
1,qwen2.5:7b,SQuAD,8,1
1,mistral:latest,SQuAD,8,1
1,phi3:mini,MMLU,9,1
1,qwen2.5:7b,MMLU,9,1
1,mistral:latest,MMLU,9,1
1,phi3:mini,HellaSwag,10,0
1,qwen2.5:7b,HellaSwag,10,0
1,mistral:latest,HellaSwag,10,0
1,phi3:mini,HumanEval,11,1
1,qwen2.5:7b,HumanEval,11,1
1,mistral:latest,HumanEval,11,1
1,phi3:mini,HumanEval,12,0
1,qwen2.5:7b,HumanEval,12,1
1,mistral:latest,HumanEval,12,1
1,phi3:mini,MMLU,13,0
1,qwen2.5:7b,MMLU,13,1
1,mistral:latest,MMLU,13,0
1,phi3:mini,SQuAD,14,0
1,qwen2.5:7b,SQuAD,14,0
1,mistral:latest,SQuAD,14,0
1,phi3:mini,HumanEval,15,0
1,qwen2.5:7b,HumanEval,15,1
1,mistral:latest,HumanEval,15,1
1,phi3:mini,MMLU,16,1
1,qwen2.5:7b,MMLU,16,1
1,mistral:latest,MMLU,16,0
1,phi3:mini,HellaSwag,17,1
1,qwen2.5:7b,HellaSwag,17,1
1,mistral:latest,HellaSwag,17,1
1,phi3:mini,GSM8K,18,0
1,qwen2.5:7b,GSM8K,18,1
1,mistral:latest,GSM8K,18,0
1,phi3:mini,SQuAD,19,1
1,qwen2.5:7b,SQuAD,19,1
1,mistral:latest,SQuAD,19,1
1,phi3:mini,SQuAD,20,1
1,qwen2.5:7b,SQuAD,20,1
1,mistral:latest,SQuAD,20,1
1,phi3:mini,HumanEval,21,0
1,qwen2.5:7b,HumanEval,21,1
1,mistral:latest,HumanEval,21,0
1,phi3:mini,HellaSwag,22,0
1,qwen2.5:7b,HellaSwag,22,1
1,mistral:latest,HellaSwag,22,1
1,phi3:mini,SQuAD,23,1
1,qwen2.5:7b,SQuAD,23,1
1,mistral:latest,SQuAD,23,1
1,phi3:mini,HellaSwag,24,0
1,qwen2.5:7b,HellaSwag,24,1
1,mistral:latest,HellaSwag,24,0
1,phi3:mini,MMLU,25,1
1,qwen2.5:7b,MMLU,25,1
1,mistral:latest,MMLU,25,1
1,phi3:mini,HumanEval,26,0
1,qwen2.5:7b,HumanEval,26,1
1,mistral:latest,HumanEval,26,0
1,phi3:mini,SQuAD,27,0
1,qwen2.5:7b,SQuAD,27,1
1,mistral:latest,SQuAD,27,1
1,phi3:mini,SQuAD,28,0
1,qwen2.5:7b,SQuAD,28,1
1,mistral:latest,SQuAD,28,1
1,phi3:mini,SQuAD,29,0
1,qwen2.5:7b,SQuAD,29,0
1,mistral:latest,SQuAD,29,1
1,phi3:mini,SQuAD,30,1
1,qwen2.5:7b,SQuAD,30,1
1,mistral:latest,SQuAD,30,1
1,phi3:mini,GSM8K,31,0
1,qwen2.5:7b,GSM8K,31,1
1,mistral:latest,GSM8K,31,0
1,phi3:mini,GSM8K,32,0
1,qwen2.5:7b,GSM8K,32,1
1,mistral:latest,GSM8K,32,1
1,phi3:mini,SQuAD,33,0
1,qwen2.5:7b,SQuAD,33,1
1,mistral:latest,SQuAD,33,1
1,phi3:mini,MMLU,34,1
1,qwen2.5:7b,MMLU,34,1
1,mistral:latest,MMLU,34,1
1,phi3:mini,SQuAD,35,1
1,qwen2.5:7b,SQuAD,35,1
1,mistral:latest,SQuAD,35,1
1,phi3:mini,MMLU,36,1
1,qwen2.5:7b,MMLU,36,1
1,mistral:latest,MMLU,36,1
1,phi3:mini,HumanEval,37,0
1,qwen2.5:7b,HumanEval,37,1
1,mistral:latest,HumanEval,37,1
1,phi3:mini,MMLU,38,1
1,qwen2.5:7b,MMLU,38,1
1,mistral:latest,MMLU,38,0
1,phi3:mini,SQuAD,39,1
1,qwen2.5:7b,SQuAD,39,1
1,mistral:latest,SQuAD,39,1
1,phi3:mini,GSM8K,40,0
1,qwen2.5:7b,GSM8K,40,1
1,mistral:latest,GSM8K,40,1
1,phi3:mini,HellaSwag,41,0
1,qwen2.5:7b,HellaSwag,41,1
1,mistral:latest,HellaSwag,41,1
1,phi3:mini,SQuAD,42,1
1,qwen2.5:7b,SQuAD,42,1
1,mistral:latest,SQuAD,42,1
1,phi3:mini,GSM8K,43,0
1,qwen2.5:7b,GSM8K,43,1
1,mistral:latest,GSM8K,43,1
1,phi3:mini,GSM8K,44,0
1,qwen2.5:7b,GSM8K,44,1
1,mistral:latest,GSM8K,44,1
1,phi3:mini,HellaSwag,45,0
1,qwen2.5:7b,HellaSwag,45,1
1,mistral:latest,HellaSwag,45,1
1,phi3:mini,GSM8K,46,0
1,qwen2.5:7b,GSM8K,46,1
1,mistral:latest,GSM8K,46,0
1,phi3:mini,GSM8K,47,0
1,qwen2.5:7b,GSM8K,47,1
1,mistral:latest,GSM8K,47,1
1,phi3:mini,HellaSwag,48,0
1,qwen2.5:7b,HellaSwag,48,0
1,mistral:latest,HellaSwag,48,1
1,phi3:mini,GSM8K,49,0
1,qwen2.5:7b,GSM8K,49,1
1,mistral:latest,GSM8K,49,1
1,phi3:mini,GSM8K,50,0
1,qwen2.5:7b,GSM8K,50,0
1,mistral:latest,GSM8K,50,0
1,phi3:mini,MMLU,51,0
1,qwen2.5:7b,MMLU,51,1
1,mistral:latest,MMLU,51,1
1,phi3:mini,MMLU,52,0
1,qwen2.5:7b,MMLU,52,1
1,mistral:latest,MMLU,52,1
1,phi3:mini,HumanEval,53,1
1,qwen2.5:7b,HumanEval,53,1
1,mistral:latest,HumanEval,53,1
1,phi3:mini,HellaSwag,54,1
1,qwen2.5:7b,HellaSwag,54,1
1,mistral:latest,HellaSwag,54,1
1,phi3:mini,MMLU,55,1
1,qwen2.5:7b,MMLU,55,1
1,mistral:latest,MMLU,55,1
1,phi3:mini,GSM8K,56,0
1,qwen2.5:7b,GSM8K,56,1
1,mistral:latest,GSM8K,56,1
1,phi3:mini,SQuAD,57,1
1,qwen2.5:7b,SQuAD,57,1
1,mistral:latest,SQuAD,57,1
1,phi3:mini,GSM8K,58,0
1,qwen2.5:7b,GSM8K,58,1
1,mistral:latest,GSM8K,58,0
1,phi3:mini,GSM8K,59,0
1,qwen2.5:7b,GSM8K,59,1
1,mistral:latest,GSM8K,59,1
1,phi3:mini,HellaSwag,60,1
1,qwen2.5:7b,HellaSwag,60,1
1,mistral:latest,HellaSwag,60,1
1,phi3:mini,GSM8K,61,0
1,qwen2.5:7b,GSM8K,61,1
1,mistral:latest,GSM8K,61,0
1,phi3:mini,HellaSwag,62,0
1,qwen2.5:7b,HellaSwag,62,1
1,mistral:latest,HellaSwag,62,1
1,phi3:mini,MMLU,63,0
1,qwen2.5:7b,MMLU,63,1
1,mistral:latest,MMLU,63,1
1,phi3:mini,GSM8K,64,0
1,qwen2.5:7b,GSM8K,64,1
1,mistral:latest,GSM8K,64,1
1,phi3:mini,MMLU,65,1
1,qwen2.5:7b,MMLU,65,1
1,mistral:latest,MMLU,65,1
1,phi3:mini,MMLU,66,1
1,qwen2.5:7b,MMLU,66,0
1,mistral:latest,MMLU,66,1
1,phi3:mini,HellaSwag,67,0
1,qwen2.5:7b,HellaSwag,67,1
1,mistral:latest,HellaSwag,67,1
1,phi3:mini,GSM8K,68,0
1,qwen2.5:7b,GSM8K,68,1
1,mistral:latest,GSM8K,68,1
1,phi3:mini,HellaSwag,69,0
1,qwen2.5:7b,HellaSwag,69,0
1,mistral:latest,HellaSwag,69,1
1,phi3:mini,HumanEval,70,0
1,qwen2.5:7b,HumanEval,70,1
1,mistral:latest,HumanEval,70,1
1,phi3:mini,MMLU,71,0
1,qwen2.5:7b,MMLU,71,1
1,mistral:latest,MMLU,71,0
1,phi3:mini,HumanEval,72,1
1,qwen2.5:7b,HumanEval,72,1
1,mistral:latest,HumanEval,72,1
1,phi3:mini,SQuAD,73,1
1,qwen2.5:7b,SQuAD,73,1
1,mistral:latest,SQuAD,73,1
1,phi3:mini,HellaSwag,74,0
1,qwen2.5:7b,HellaSwag,74,1
1,mistral:latest,HellaSwag,74,1
1,phi3:mini,HumanEval,75,0
1,qwen2.5:7b,HumanEval,75,1
1,mistral:latest,HumanEval,75,0
1,phi3:mini,HumanEval,76,0
1,qwen2.5:7b,HumanEval,76,1
1,mistral:latest,HumanEval,76,0
1,phi3:mini,GSM8K,77,0
1,qwen2.5:7b,GSM8K,77,1
1,mistral:latest,GSM8K,77,1
1,phi3:mini,HellaSwag,78,0
1,qwen2.5:7b,HellaSwag,78,0
1,mistral:latest,HellaSwag,78,0
1,phi3:mini,SQuAD,79,0
1,qwen2.5:7b,SQuAD,79,1
1,mistral:latest,SQuAD,79,1
1,phi3:mini,GSM8K,80,0
1,qwen2.5:7b,GSM8K,80,1
1,mistral:latest,GSM8K,80,1
1,phi3:mini,MMLU,81,0
1,qwen2.5:7b,MMLU,81,1
1,mistral:latest,MMLU,81,1
1,phi3:mini,MMLU,82,0
1,qwen2.5:7b,MMLU,82,0
1,mistral:latest,MMLU,82,0
1,phi3:mini,HumanEval,83,1
1,qwen2.5:7b,HumanEval,83,1
1,mistral:latest,HumanEval,83,1
1,phi3:mini,SQuAD,84,0
1,qwen2.5:7b,SQuAD,84,1
1,mistral:latest,SQuAD,84,1
1,phi3:mini,HellaSwag,85,0
1,qwen2.5:7b,HellaSwag,85,1
1,mistral:latest,HellaSwag,85,1
1,phi3:mini,HumanEval,86,0
1,qwen2.5:7b,HumanEval,86,1
1,mistral:latest,HumanEval,86,1
1,phi3:mini,HellaSwag,87,0
1,qwen2.5:7b,HellaSwag,87,1
1,mistral:latest,HellaSwag,87,1
1,phi3:mini,MMLU,88,0
1,qwen2.5:7b,MMLU,88,1
1,mistral:latest,MMLU,88,0
1,phi3:mini,HumanEval,89,0
1,qwen2.5:7b,HumanEval,89,1
1,mistral:latest,HumanEval,89,1
1,phi3:mini,MMLU,90,1
1,qwen2.5:7b,MMLU,90,1
1,mistral:latest,MMLU,90,1
1,phi3:mini,MMLU,91,1
1,qwen2.5:7b,MMLU,91,1
1,mistral:latest,MMLU,91,1
1,phi3:mini,GSM8K,92,1
1,qwen2.5:7b,GSM8K,92,1
1,mistral:latest,GSM8K,92,1
1,phi3:mini,SQuAD,93,1
1,qwen2.5:7b,SQuAD,93,1
1,mistral:latest,SQuAD,93,1
1,phi3:mini,SQuAD,94,1
1,qwen2.5:7b,SQuAD,94,1
1,mistral:latest,SQuAD,94,1
1,phi3:mini,GSM8K,95,1
1,qwen2.5:7b,GSM8K,95,1
1,mistral:latest,GSM8K,95,1
1,phi3:mini,MMLU,96,1
1,qwen2.5:7b,MMLU,96,1
1,mistral:latest,MMLU,96,1
1,phi3:mini,GSM8K,97,0
1,qwen2.5:7b,GSM8K,97,0
1,mistral:latest,GSM8K,97,0
1,phi3:mini,HumanEval,98,0
1,qwen2.5:7b,HumanEval,98,1
1,mistral:latest,HumanEval,98,0
1,phi3:mini,HellaSwag,99,1
1,qwen2.5:7b,HellaSwag,99,1
1,mistral:latest,HellaSwag,99,1
1,phi3:mini,GSM8K,100,0
1,qwen2.5:7b,GSM8K,100,1
1,mistral:latest,GSM8K,100,1
1,phi3:mini,SQuAD,101,1
1,qwen2.5:7b,SQuAD,101,1
1,mistral:latest,SQuAD,101,1
1,phi3:mini,HellaSwag,102,1
1,qwen2.5:7b,HellaSwag,102,1
1,mistral:latest,HellaSwag,102,1
1,phi3:mini,SQuAD,103,1
1,qwen2.5:7b,SQuAD,103,1
1,mistral:latest,SQuAD,103,1
1,phi3:mini,HellaSwag,104,0
1,qwen2.5:7b,HellaSwag,104,0
1,mistral:latest,HellaSwag,104,1
1,phi3:mini,MMLU,105,0
1,qwen2.5:7b,MMLU,105,1
1,mistral:latest,MMLU,105,1
1,phi3:mini,HellaSwag,106,0
1,qwen2.5:7b,HellaSwag,106,1
1,mistral:latest,HellaSwag,106,0
1,phi3:mini,GSM8K,107,0
1,qwen2.5:7b,GSM8K,107,1
1,mistral:latest,GSM8K,107,1
1,phi3:mini,HellaSwag,108,0
1,qwen2.5:7b,HellaSwag,108,1
1,mistral:latest,HellaSwag,108,1
1,phi3:mini,GSM8K,109,0
1,qwen2.5:7b,GSM8K,109,1
1,mistral:latest,GSM8K,109,1
1,phi3:mini,HellaSwag,110,0
1,qwen2.5:7b,HellaSwag,110,0
