run,domanda,task,modello,temp_pre,temp_post,cooldown_ok
1,1,GSM8K,phi3:mini,43,51,in_attesa
1,1,GSM8K,qwen2.5:7b,48,52,in_attesa
1,1,GSM8K,"mistral:latest ",48,52,in_attesa
1,2,HellaSwag,phi3:mini,47,50,in_attesa
1,2,HellaSwag,qwen2.5:7b,47,52,in_attesa
1,2,HellaSwag,"mistral:latest ",47,53,in_attesa
1,3,MMLU,phi3:mini,48,50,in_attesa
1,3,MMLU,qwen2.5:7b,46,50,in_attesa
1,3,MMLU,"mistral:latest ",46,48,in_attesa
1,4,GSM8K,phi3:mini,48,49,in_attesa
1,4,GSM8K,qwen2.5:7b,46,50,in_attesa
1,4,GSM8K,"mistral:latest ",46,49,in_attesa
1,5,MMLU,phi3:mini,46,53,in_attesa
1,5,MMLU,qwen2.5:7b,47,51,in_attesa
1,5,MMLU,"mistral:latest ",47,51,in_attesa
1,6,MMLU,phi3:mini,47,50,in_attesa
1,6,MMLU,qwen2.5:7b,46,51,in_attesa
1,6,MMLU,"mistral:latest ",46,51,in_attesa
1,7,HellaSwag,phi3:mini,47,51,in_attesa
1,7,HellaSwag,qwen2.5:7b,47,54,in_attesa
1,7,HellaSwag,"mistral:latest ",47,52,in_attesa
1,8,SQuAD,phi3:mini,47,50,in_attesa
1,8,SQuAD,qwen2.5:7b,46,48,in_attesa
1,8,SQuAD,"mistral:latest ",48,50,in_attesa
1,9,MMLU,phi3:mini,46,50,in_attesa
1,9,MMLU,qwen2.5:7b,45,48,in_attesa
1,9,MMLU,"mistral:latest ",48,50,in_attesa
1,10,HellaSwag,phi3:mini,45,50,in_attesa
1,10,HellaSwag,qwen2.5:7b,46,52,in_attesa
1,10,HellaSwag,"mistral:latest ",47,50,in_attesa
1,11,HumanEval,phi3:mini,46,50,in_attesa
1,11,HumanEval,qwen2.5:7b,46,52,in_attesa
1,11,HumanEval,"mistral:latest ",47,51,in_attesa
1,12,HumanEval,phi3:mini,47,49,in_attesa
1,12,HumanEval,qwen2.5:7b,46,52,in_attesa
1,12,HumanEval,"mistral:latest ",46,51,in_attesa
1,13,MMLU,phi3:mini,46,50,in_attesa
1,13,MMLU,qwen2.5:7b,46,49,in_attesa
1,13,MMLU,"mistral:latest ",45,49,in_attesa
1,14,SQuAD,phi3:mini,45,49,in_attesa
1,14,SQuAD,qwen2.5:7b,45,49,in_attesa
1,14,SQuAD,"mistral:latest ",45,48,in_attesa
1,15,HumanEval,phi3:mini,48,50,in_attesa
1,15,HumanEval,qwen2.5:7b,46,52,in_attesa
1,15,HumanEval,"mistral:latest ",48,52,in_attesa
1,16,MMLU,phi3:mini,47,50,in_attesa
1,16,MMLU,qwen2.5:7b,46,51,in_attesa
1,16,MMLU,"mistral:latest ",47,51,in_attesa
1,17,HellaSwag,phi3:mini,47,51,in_attesa
1,17,HellaSwag,qwen2.5:7b,47,52,in_attesa
1,17,HellaSwag,"mistral:latest ",47,52,in_attesa
1,18,GSM8K,phi3:mini,48,53,in_attesa
1,18,GSM8K,qwen2.5:7b,48,53,in_attesa
1,18,GSM8K,"mistral:latest ",48,53,in_attesa
1,19,SQuAD,phi3:mini,48,50,in_attesa
1,19,SQuAD,qwen2.5:7b,47,50,in_attesa
1,19,SQuAD,"mistral:latest ",46,49,in_attesa
1,20,SQuAD,phi3:mini,46,48,in_attesa
1,20,SQuAD,qwen2.5:7b,48,49,in_attesa
1,20,SQuAD,"mistral:latest ",46,50,in_attesa
1,21,HumanEval,phi3:mini,46,51,in_attesa
1,21,HumanEval,qwen2.5:7b,47,53,in_attesa
1,21,HumanEval,"mistral:latest ",48,52,in_attesa
1,22,HellaSwag,phi3:mini,48,52,in_attesa
1,22,HellaSwag,qwen2.5:7b,48,53,in_attesa
1,22,HellaSwag,"mistral:latest ",48,52,in_attesa
1,23,SQuAD,phi3:mini,48,50,in_attesa
1,23,SQuAD,qwen2.5:7b,47,51,in_attesa
1,23,SQuAD,"mistral:latest ",46,49,in_attesa
1,24,HellaSwag,phi3:mini,46,51,in_attesa
1,24,HellaSwag,qwen2.5:7b,47,51,in_attesa
1,24,HellaSwag,"mistral:latest ",47,52,in_attesa
1,25,MMLU,phi3:mini,47,49,in_attesa
1,25,MMLU,qwen2.5:7b,46,49,in_attesa
1,25,MMLU,"mistral:latest ",46,49,in_attesa
1,26,HumanEval,phi3:mini,45,50,in_attesa
1,26,HumanEval,qwen2.5:7b,46,51,in_attesa
1,26,HumanEval,"mistral:latest ",47,52,in_attesa
1,27,SQuAD,phi3:mini,47,50,in_attesa
1,27,SQuAD,qwen2.5:7b,46,50,in_attesa
1,27,SQuAD,"mistral:latest ",46,49,in_attesa
1,28,SQuAD,phi3:mini,45,48,in_attesa
1,28,SQuAD,qwen2.5:7b,48,50,in_attesa
1,28,SQuAD,"mistral:latest ",46,53,in_attesa
1,29,SQuAD,phi3:mini,48,51,in_attesa
1,29,SQuAD,qwen2.5:7b,46,49,in_attesa
1,29,SQuAD,"mistral:latest ",45,52,in_attesa
1,30,SQuAD,phi3:mini,46,49,in_attesa
1,30,SQuAD,qwen2.5:7b,45,50,in_attesa
1,30,SQuAD,"mistral:latest ",45,47,in_attesa
1,31,GSM8K,phi3:mini,47,50,in_attesa
1,31,GSM8K,qwen2.5:7b,46,50,in_attesa
1,31,GSM8K,"mistral:latest ",46,52,in_attesa
1,32,GSM8K,phi3:mini,47,52,in_attesa
1,32,GSM8K,qwen2.5:7b,46,51,in_attesa
1,32,GSM8K,"mistral:latest ",46,51,in_attesa
1,33,SQuAD,phi3:mini,46,49,in_attesa
1,33,SQuAD,qwen2.5:7b,45,49,in_attesa
1,33,SQuAD,"mistral:latest ",47,50,in_attesa
1,34,MMLU,phi3:mini,48,50,in_attesa
1,34,MMLU,qwen2.5:7b,46,49,in_attesa
1,34,MMLU,"mistral:latest ",45,49,in_attesa
1,35,SQuAD,phi3:mini,45,47,in_attesa
1,35,SQuAD,qwen2.5:7b,47,48,in_attesa
1,35,SQuAD,"mistral:latest ",48,49,in_attesa
1,36,MMLU,phi3:mini,45,49,in_attesa
1,36,MMLU,qwen2.5:7b,46,50,in_attesa
1,36,MMLU,"mistral:latest ",45,50,in_attesa
1,37,HumanEval,phi3:mini,45,50,in_attesa
1,37,HumanEval,qwen2.5:7b,46,54,in_attesa
1,37,HumanEval,"mistral:latest ",47,50,in_attesa
1,38,MMLU,phi3:mini,47,50,in_attesa
1,38,MMLU,qwen2.5:7b,46,49,in_attesa
1,38,MMLU,"mistral:latest ",45,48,in_attesa
1,39,SQuAD,phi3:mini,48,52,in_attesa
