run,modello,task,domanda_id,voto
1,qwen2.5:14b,GSM8K,1,1
1,qwen2.5:14b,HellaSwag,2,1
1,qwen2.5:14b,MMLU,3,1
1,qwen2.5:14b,GSM8K,4,1
1,qwen2.5:14b,MMLU,5,0
1,qwen2.5:14b,MMLU,6,0
1,qwen2.5:14b,HellaSwag,7,1
1,qwen2.5:14b,SQuAD,8,1
1,qwen2.5:14b,MMLU,9,1
1,qwen2.5:14b,HellaSwag,10,1
1,qwen2.5:14b,HumanEval,11,1
1,qwen2.5:14b,HumanEval,12,1
1,qwen2.5:14b,MMLU,13,1
1,qwen2.5:14b,SQuAD,14,1
1,qwen2.5:14b,HumanEval,15,1
1,qwen2.5:14b,MMLU,16,0
1,qwen2.5:14b,HellaSwag,17,1
1,qwen2.5:14b,GSM8K,18,1
1,qwen2.5:14b,SQuAD,19,1
1,qwen2.5:14b,SQuAD,20,1
1,qwen2.5:14b,HumanEval,21,1
1,qwen2.5:14b,HellaSwag,22,1
1,qwen2.5:14b,SQuAD,23,1
1,qwen2.5:14b,HellaSwag,24,1
1,qwen2.5:14b,MMLU,25,1
1,qwen2.5:14b,HumanEval,26,0
1,qwen2.5:14b,SQuAD,27,1
1,qwen2.5:14b,SQuAD,28,0
1,qwen2.5:14b,SQuAD,29,1
1,qwen2.5:14b,SQuAD,30,1
1,qwen2.5:14b,GSM8K,31,1
1,qwen2.5:14b,GSM8K,32,1
1,qwen2.5:14b,SQuAD,33,1
1,qwen2.5:14b,MMLU,34,1
1,qwen2.5:14b,SQuAD,35,1
1,qwen2.5:14b,MMLU,36,1
1,qwen2.5:14b,HumanEval,37,1
1,qwen2.5:14b,MMLU,38,1
1,qwen2.5:14b,SQuAD,39,1
1,qwen2.5:14b,GSM8K,40,1
1,qwen2.5:14b,HellaSwag,41,1
1,qwen2.5:14b,SQuAD,42,1
1,qwen2.5:14b,GSM8K,43,1
1,qwen2.5:14b,GSM8K,44,1
1,qwen2.5:14b,HellaSwag,45,1
1,qwen2.5:14b,GSM8K,46,1
1,qwen2.5:14b,GSM8K,47,1
1,qwen2.5:14b,HellaSwag,48,0
1,qwen2.5:14b,GSM8K,49,1
1,qwen2.5:14b,GSM8K,50,0
1,qwen2.5:14b,MMLU,51,1
1,qwen2.5:14b,MMLU,52,0
1,qwen2.5:14b,HumanEval,53,1
1,qwen2.5:14b,HellaSwag,54,1
1,qwen2.5:14b,MMLU,55,1
1,qwen2.5:14b,GSM8K,56,1
1,qwen2.5:14b,SQuAD,57,1
1,qwen2.5:14b,GSM8K,58,1
1,qwen2.5:14b,GSM8K,59,1
1,qwen2.5:14b,HellaSwag,60,1
1,qwen2.5:14b,GSM8K,61,1
1,qwen2.5:14b,HellaSwag,62,1
1,qwen2.5:14b,MMLU,63,1
1,qwen2.5:14b,GSM8K,64,1
1,qwen2.5:14b,MMLU,65,1
1,qwen2.5:14b,MMLU,66,1
1,qwen2.5:14b,HellaSwag,67,1
1,qwen2.5:14b,GSM8K,68,1
1,qwen2.5:14b,HellaSwag,69,1
1,qwen2.5:14b,HumanEval,70,1
1,qwen2.5:14b,MMLU,71,1
1,qwen2.5:14b,HumanEval,72,1
1,qwen2.5:14b,SQuAD,73,1
1,qwen2.5:14b,HellaSwag,74,1
1,qwen2.5:14b,HumanEval,75,1
1,qwen2.5:14b,HumanEval,76,1
1,qwen2.5:14b,GSM8K,77,0
1,qwen2.5:14b,HellaSwag,78,1
1,qwen2.5:14b,SQuAD,79,1
1,qwen2.5:14b,GSM8K,80,1
1,qwen2.5:14b,MMLU,81,1
1,qwen2.5:14b,MMLU,82,1
1,qwen2.5:14b,HumanEval,83,1
1,qwen2.5:14b,SQuAD,84,1
1,qwen2.5:14b,HellaSwag,85,1
1,qwen2.5:14b,HumanEval,86,1
1,qwen2.5:14b,HellaSwag,87,1
1,qwen2.5:14b,MMLU,88,1
1,qwen2.5:14b,HumanEval,89,1
1,qwen2.5:14b,MMLU,90,1
1,qwen2.5:14b,MMLU,91,1
1,qwen2.5:14b,GSM8K,92,1
1,qwen2.5:14b,SQuAD,93,1
1,qwen2.5:14b,SQuAD,94,1
1,qwen2.5:14b,GSM8K,95,1
1,qwen2.5:14b,MMLU,96,1
1,qwen2.5:14b,GSM8K,97,1
1,qwen2.5:14b,HumanEval,98,1
1,qwen2.5:14b,HellaSwag,99,1
1,qwen2.5:14b,GSM8K,100,1
1,qwen2.5:14b,SQuAD,101,1
1,qwen2.5:14b,HellaSwag,102,1
1,qwen2.5:14b,SQuAD,103,1
1,qwen2.5:14b,HellaSwag,104,1
1,qwen2.5:14b,MMLU,105,1
1,qwen2.5:14b,HellaSwag,106,1
1,qwen2.5:14b,GSM8K,107,1
1,qwen2.5:14b,HellaSwag,108,1
1,qwen2.5:14b,GSM8K,109,1
1,qwen2.5:14b,HellaSwag,110,1
1,qwen2.5:14b,MMLU,111,1
1,qwen2.5:14b,HellaSwag,112,1
1,qwen2.5:14b,MMLU,113,1
1,qwen2.5:14b,GSM8K,114,1
1,qwen2.5:14b,HellaSwag,115,1
1,qwen2.5:14b,HumanEval,116,1
1,qwen2.5:14b,HumanEval,117,1
1,qwen2.5:14b,GSM8K,118,1
1,qwen2.5:14b,MMLU,119,1
1,qwen2.5:14b,SQuAD,120,1
1,qwen2.5:14b,MMLU,121,0
1,qwen2.5:14b,SQuAD,122,1
1,qwen2.5:14b,HumanEval,123,1
