run,domanda,task,modello,temp_pre,temp_post,cooldown_ok
1,1,HellaSwag,llama3.2,44,47,in_attesa
1,1,HellaSwag,llama3.1,46,48,in_attesa
1,1,HellaSwag,gemma2:27b,47,52,in_attesa
1,1,HellaSwag,phi3:mini,47,51,in_attesa
1,1,HellaSwag,qwen2.5:7b,47,51,in_attesa
1,1,HellaSwag,mistral,47,50,in_attesa
1,1,HellaSwag,qwen2.5:14b,47,52,in_attesa
1,2,HumanEval,llama3.2,46,53,in_attesa
1,2,HumanEval,llama3.1,46,54,in_attesa
1,2,HumanEval,gemma2:27b,47,58,in_attesa
1,2,HumanEval,phi3:mini,47,51,in_attesa
1,2,HumanEval,qwen2.5:7b,47,58,in_attesa
1,2,HumanEval,mistral,47,52,in_attesa
1,2,HumanEval,qwen2.5:14b,47,58,in_attesa
1,3,GSM8K,llama3.2,47,52,in_attesa
1,3,GSM8K,llama3.1,47,54,in_attesa
1,3,GSM8K,gemma2:27b,47,59,in_attesa
1,3,GSM8K,phi3:mini,47,53,in_attesa
1,3,GSM8K,qwen2.5:7b,47,53,in_attesa
1,3,GSM8K,mistral,47,56,in_attesa
1,3,GSM8K,qwen2.5:14b,47,59,in_attesa
1,4,GSM8K,llama3.2,47,53,in_attesa
1,4,GSM8K,llama3.1,46,52,in_attesa
1,4,GSM8K,gemma2:27b,47,57,in_attesa
1,4,GSM8K,phi3:mini,47,53,in_attesa
1,4,GSM8K,qwen2.5:7b,47,52,in_attesa
1,4,GSM8K,mistral,47,52,in_attesa
1,4,GSM8K,qwen2.5:14b,47,58,in_attesa
1,5,GSM8K,llama3.2,46,49,in_attesa
1,5,GSM8K,llama3.1,47,54,in_attesa
1,5,GSM8K,gemma2:27b,47,58,in_attesa
1,5,GSM8K,phi3:mini,47,54,in_attesa
1,5,GSM8K,qwen2.5:7b,46,56,in_attesa
1,5,GSM8K,mistral,46,53,in_attesa
1,5,GSM8K,qwen2.5:14b,47,56,in_attesa
1,6,HumanEval,llama3.2,47,52,in_attesa
1,6,HumanEval,llama3.1,47,53,in_attesa
1,6,HumanEval,gemma2:27b,47,58,in_attesa
1,6,HumanEval,phi3:mini,47,53,in_attesa
1,6,HumanEval,qwen2.5:7b,46,53,in_attesa
1,6,HumanEval,mistral,47,52,in_attesa
1,6,HumanEval,qwen2.5:14b,47,59,in_attesa
1,7,HellaSwag,llama3.2,47,52,in_attesa
1,7,HellaSwag,llama3.1,47,51,in_attesa
1,7,HellaSwag,gemma2:27b,47,52,in_attesa
1,7,HellaSwag,phi3:mini,47,51,in_attesa
1,7,HellaSwag,qwen2.5:7b,47,50,in_attesa
1,7,HellaSwag,mistral,47,51,in_attesa
1,7,HellaSwag,qwen2.5:14b,47,50,in_attesa
1,8,HellaSwag,llama3.2,47,49,in_attesa
1,8,HellaSwag,llama3.1,47,50,in_attesa
1,8,HellaSwag,gemma2:27b,47,53,in_attesa
1,8,HellaSwag,phi3:mini,46,49,in_attesa
1,8,HellaSwag,qwen2.5:7b,47,50,in_attesa
1,8,HellaSwag,mistral,47,51,in_attesa
1,8,HellaSwag,qwen2.5:14b,46,50,in_attesa
