modello,task,Media Accuratezza Run (%)
gemma2:27b,GSM8K,90.0
gemma2:27b,HellaSwag,75.33
gemma2:27b,HumanEval,77.33
gemma2:27b,MMLU,73.33
gemma2:27b,SQuAD,95.67
llama3.1,GSM8K,77.0
llama3.1,HellaSwag,48.33
llama3.1,HumanEval,58.67
llama3.1,MMLU,61.33
llama3.1,SQuAD,88.67
llama3.2,GSM8K,67.0
llama3.2,HellaSwag,46.67
llama3.2,HumanEval,45.67
llama3.2,MMLU,48.67
llama3.2,SQuAD,82.67
mistral,GSM8K,54.0
mistral,HellaSwag,53.67
mistral,HumanEval,45.0
mistral:latest,MMLU,54.67
mistral:latest,SQuAD,90.0
phi3:mini,GSM8K,20.0
phi3:mini,HellaSwag,57.33
phi3:mini,HumanEval,9.0
phi3:mini,MMLU,54.33
phi3:mini,SQuAD,68.33
qwen2.5:14b,GSM8K,86.0
qwen2.5:14b,HellaSwag,80.33
qwen2.5:14b,HumanEval,80.0
qwen2.5:14b,MMLU,71.0
qwen2.5:14b,SQuAD,95.33
qwen2.5:7b,GSM8K,92.0
qwen2.5:7b,HellaSwag,70.0
qwen2.5:7b,HumanEval,66.67
qwen2.5:7b,MMLU,62.0
qwen2.5:7b,SQuAD,94.67
