run,modello,task,domanda_id,voto
1,llama3.2,GSM8K,1,0
1,llama3.1,GSM8K,1,1
1,gemma2:27b,GSM8K,1,1
1,llama3.2,HellaSwag,2,0
1,llama3.1,HellaSwag,2,1
1,gemma2:27b,HellaSwag,2,1
1,llama3.2,MMLU,3,1
1,llama3.1,MMLU,3,1
1,gemma2:27b,MMLU,3,1
1,llama3.2,GSM8K,4,1
1,llama3.1,GSM8K,4,1
1,gemma2:27b,GSM8K,4,1
1,llama3.2,MMLU,5,1
1,llama3.1,MMLU,5,0
1,gemma2:27b,MMLU,5,0
1,llama3.2,MMLU,6,0
1,llama3.1,MMLU,6,1
1,gemma2:27b,MMLU,6,0
1,llama3.2,HellaSwag,7,0
1,llama3.1,HellaSwag,7,0
1,gemma2:27b,HellaSwag,7,0
1,llama3.2,SQuAD,8,1
1,llama3.1,SQuAD,8,1
1,gemma2:27b,SQuAD,8,1
1,llama3.2,MMLU,9,1
1,llama3.1,MMLU,9,1
1,gemma2:27b,MMLU,9,1
1,llama3.2,HellaSwag,10,0
1,llama3.1,HellaSwag,10,1
1,gemma2:27b,HellaSwag,10,1
1,llama3.2,HumanEval,11,1
1,llama3.1,HumanEval,11,1
1,gemma2:27b,HumanEval,11,1
1,llama3.2,HumanEval,12,1
1,llama3.1,HumanEval,12,1
1,gemma2:27b,HumanEval,12,1
1,llama3.2,MMLU,13,0
1,llama3.1,MMLU,13,0
1,gemma2:27b,MMLU,13,1
1,llama3.2,SQuAD,14,0
1,llama3.1,SQuAD,14,1
1,gemma2:27b,SQuAD,14,1
1,llama3.2,HumanEval,15,1
1,llama3.1,HumanEval,15,1
1,gemma2:27b,HumanEval,15,1
1,llama3.2,MMLU,16,0
1,llama3.1,MMLU,16,0
1,gemma2:27b,MMLU,16,0
1,llama3.2,HellaSwag,17,1
1,llama3.1,HellaSwag,17,1
1,gemma2:27b,HellaSwag,17,1
1,llama3.2,GSM8K,18,0
1,llama3.1,GSM8K,18,0
1,gemma2:27b,GSM8K,18,1
1,llama3.2,SQuAD,19,1
1,llama3.1,SQuAD,19,1
1,gemma2:27b,SQuAD,19,1
1,llama3.2,SQuAD,20,1
1,llama3.1,SQuAD,20,1
1,gemma2:27b,SQuAD,20,1
1,llama3.2,HumanEval,21,1
1,llama3.1,HumanEval,21,1
1,gemma2:27b,HumanEval,21,1
1,llama3.2,HellaSwag,22,0
1,llama3.1,HellaSwag,22,0
1,gemma2:27b,HellaSwag,22,1
1,llama3.2,SQuAD,23,0
1,llama3.1,SQuAD,23,0
1,gemma2:27b,SQuAD,23,1
1,llama3.2,HellaSwag,24,1
1,llama3.1,HellaSwag,24,0
1,gemma2:27b,HellaSwag,24,0
1,llama3.2,MMLU,25,1
1,llama3.1,MMLU,25,1
1,gemma2:27b,MMLU,25,1
1,llama3.2,HumanEval,26,0
1,llama3.1,HumanEval,26,1
1,gemma2:27b,HumanEval,26,1
1,llama3.2,SQuAD,27,1
1,llama3.1,SQuAD,27,1
1,gemma2:27b,SQuAD,27,1
1,llama3.2,SQuAD,28,1
1,llama3.1,SQuAD,28,1
1,gemma2:27b,SQuAD,28,1
1,llama3.2,SQuAD,29,1
1,llama3.1,SQuAD,29,0
1,gemma2:27b,SQuAD,29,1
1,llama3.2,SQuAD,30,1
1,llama3.1,SQuAD,30,1
1,gemma2:27b,SQuAD,30,1
1,llama3.2,GSM8K,31,1
1,llama3.1,GSM8K,31,1
1,gemma2:27b,GSM8K,31,1
1,llama3.2,GSM8K,32,1
1,llama3.1,GSM8K,32,1
1,gemma2:27b,GSM8K,32,1
1,llama3.2,SQuAD,33,1
1,llama3.1,SQuAD,33,1
1,gemma2:27b,SQuAD,33,1
1,llama3.2,MMLU,34,1
1,llama3.1,MMLU,34,1
1,gemma2:27b,MMLU,34,1
1,llama3.2,SQuAD,35,1
1,llama3.1,SQuAD,35,1
1,gemma2:27b,SQuAD,35,1
1,llama3.2,MMLU,36,0
1,llama3.1,MMLU,36,1
1,gemma2:27b,MMLU,36,1
1,llama3.2,HumanEval,37,0
1,llama3.1,HumanEval,37,1
1,gemma2:27b,HumanEval,37,1
1,llama3.2,MMLU,38,1
